ID,Description,Remarks,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime
1,CEO,,1234,2014-03-12 15:47:27.000,691,2024-04-02 10:38:50.260
2,OPERATIONS DIVISION MANAGER,,1234,2014-03-12 15:48:01.000,691,2024-04-02 10:39:30.547
3,AREA MANAGER,,1234,2014-03-12 15:48:21.000,691,2024-04-02 10:39:43.903
4,BRANCH MANAGER,,1234,2014-03-12 15:48:34.000,691,2024-04-02 10:39:52.507
5,MEMBERSHIP DEVELOPMENT OFFICER,,1234,2014-03-12 15:48:50.000,691,2024-04-04 11:22:26.400
6,LOANS OFFICER,,1234,2014-03-12 15:49:27.000,691,2024-04-04 11:22:58.680
7,LOANS MONITORING OFFICER,,1234,2014-03-12 15:50:15.000,691,2024-04-04 11:23:31.037
8,REMEDIAL MONITORING OFFICER,,1234,2014-03-12 15:50:26.000,691,2024-04-04 11:24:01.270
9,CASHIER,,1234,2014-03-12 15:50:54.000,691,2024-04-04 11:24:28.340
10,BOOKKEEPER,,1234,2014-03-12 15:51:11.000,691,2024-04-04 11:24:46.010
11,ACCOUNT OFFICER,,1234,2014-03-12 15:51:16.000,691,2024-04-04 11:25:07.793
12,TELLER,,1234,2014-03-12 15:51:34.000,691,2024-04-04 11:25:29.050
13,CREDIT INVESTIGATOR/APPRAISER,,1234,2014-03-12 15:52:14.000,691,2024-04-04 11:25:50.217
14,SALES & MARKETING SPECIALIST,,1234,2014-03-12 15:52:55.000,691,2024-04-04 11:26:17.583
15,NEW ACCOUNTS CLERK,,972,2022-12-28 10:55:18.333,691,2024-04-04 11:26:39.640
16,LOANS CLERK,,691,2024-04-04 11:27:51.267,691,2024-04-04 11:27:51.267
17,MORTGAGE CLERK,,691,2024-04-04 11:28:08.933,691,2024-04-04 11:28:08.933
18,ATM SPECIALIST,,691,2024-04-04 11:28:31.533,691,2024-04-04 11:28:31.533
19,ACCOUNTING CLERK,,691,2024-04-04 11:28:53.967,691,2024-04-04 11:28:53.967
20,DRIVER,,691,2024-04-04 11:29:08.690,691,2024-04-04 11:29:08.690
21,MESSENGER/UTILITY,,691,2024-04-04 11:29:18.290,691,2024-04-04 11:29:18.290
22,LOANS MONITORING CLERK,,691,2024-04-04 11:30:06.700,691,2024-04-04 11:30:06.700
23,COMPLIANCE OFFICER,,691,2024-04-04 11:32:11.040,691,2024-04-04 11:32:11.040
24,EXECUTIVE ASSISTANT,,691,2024-04-04 11:32:27.727,691,2024-04-04 11:32:27.727
25,RESEARCH & DEVELOPMENT SPECIALIST,,691,2024-04-04 11:32:47.503,691,2024-04-04 12:00:04.960
26,RECORDING SECRETARY OF THE BOD & OFFICERS,,691,2024-04-04 11:33:08.903,691,2024-04-04 11:59:48.093
27,SENIOR CREDIT ANALYST,,691,2024-04-04 11:34:18.493,691,2024-04-04 11:34:18.493
28,SENIOR APPRAISER,,691,2024-04-04 11:34:29.870,691,2024-04-04 11:34:29.870
29,REMEDIAL MONITORING UNIT HEAD,,691,2024-04-04 11:34:54.593,691,2024-04-04 11:34:54.593
30,LITIGATION OFFICER,,691,2024-04-04 11:35:19.540,691,2024-04-04 11:35:19.540
31,MORTGAGE UNIT HEAD,,691,2024-04-04 11:35:35.403,691,2024-04-04 11:35:35.403
32,JUNIOR CREDIT ANALYST,,691,2024-04-04 11:35:59.477,691,2024-04-04 11:35:59.477
33,JUNIOR APPRAISER,,691,2024-04-04 11:36:23.420,691,2024-04-04 11:36:23.420
34,CURRENT COLLECTION UNIT HEAD,,691,2024-04-04 11:37:17.837,691,2024-04-04 11:37:17.837
35,CUSTODIAN-ACQUIRED REAL ESTATE,,691,2024-04-04 11:37:53.873,691,2024-04-04 11:37:53.873
36,REPOSSESSED CHATTEL CUSTODIAN,,691,2024-04-04 11:38:10.907,691,2024-04-04 11:38:10.907
37,ONLINE SERVICES SUPPORT SPECIALIST,,691,2024-04-04 11:38:29.147,691,2024-04-04 11:38:29.147
38,MORTGAGE PROCESSOR,,691,2024-04-04 11:38:54.300,691,2024-04-04 11:38:54.300
39,LITIGATION ASSISTANT,,691,2024-04-04 11:39:14.073,691,2024-04-04 11:39:14.073
40,REMEDIAL MONITORING UNIT ASSISTANT,,691,2024-04-04 11:39:30.347,691,2024-04-04 11:39:30.347
41,ICT HEAD,,691,2024-04-04 11:40:15.593,691,2024-04-04 11:40:15.593
42,TECHNICAL UNIT HEAD,,691,2024-04-04 11:40:39.927,691,2024-04-04 11:40:39.927
43,JUNIOR SOFTWARE DEVELOPER,,691,2024-04-04 11:40:55.287,691,2024-04-04 11:40:55.287
44,HARDWARE & NETWORK SPECIALIST,,691,2024-04-04 11:41:18.923,691,2024-04-04 11:41:18.923
45,ICT TECH SUPPORT,,691,2024-04-04 11:41:33.297,691,2024-04-04 11:41:33.297
46,CORE BANKING OPERATIONS SUPPORT SPECIALIST,,691,2024-04-04 11:41:55.020,691,2024-04-04 11:41:55.020
47,INTERNAL AUDIT HEAD,,691,2024-04-04 11:42:17.770,691,2024-04-04 11:42:17.770
48,INTERNAL AUDITOR,,691,2024-04-04 11:42:27.643,691,2024-04-04 11:42:27.643
49,INTERNAL AUDIT CLERK,,691,2024-04-04 11:43:08.760,691,2024-04-04 11:43:08.760
50,TREASURY OFFICER,,691,2024-04-04 11:43:18.157,691,2024-04-04 11:43:18.157
51,TREASURY CLERK,,691,2024-04-04 11:43:31.183,691,2024-04-04 11:43:31.183
52,HR CLERK-RECRUITMENT,,691,2024-04-04 11:44:17.510,691,2024-04-04 11:44:17.510
53,HR CLERK-GENERAL,,691,2024-04-04 11:44:36.457,691,2024-04-04 11:44:36.457
54,HR SPECIALIST-CORE BUSINESS OPERATIONS SUPPORT,,691,2024-04-04 11:45:07.840,691,2024-04-04 11:45:07.840
55,HR SPECIALIST-TALENT ACQUISITION,,691,2024-04-04 11:45:41.760,691,2024-04-04 11:45:41.760
56,HR SPECIALIST-COMPENSATION AND BENEFITS ,,691,2024-04-04 11:46:13.930,691,2024-04-04 11:46:13.930
57,HRD OFFICER,,691,2024-04-04 11:47:03.067,691,2024-04-04 11:47:03.067
58,HR ASSISTANT-CONDUCT & DISCIPLINE,,691,2024-04-04 11:47:31.990,691,2024-04-04 11:47:31.990
59,TRAINING OFFICER,,691,2024-04-04 11:47:42.830,691,2024-04-04 11:47:42.830
60,MECHANIC,,691,2024-04-04 13:22:30.843,691,2024-04-04 13:22:30.843
61,ADMINISTRATIVE CLERK,,691,2024-04-04 13:22:49.683,691,2024-04-04 13:22:49.683
62,RECORDS CLERK,,691,2024-04-04 13:23:02.867,691,2024-04-04 13:23:02.867
63,RECORDS OFFICER,,691,2024-04-04 13:23:29.567,691,2024-04-04 13:23:29.567
64,PROPERTY & ASSET CUSTODIAN,,691,2024-04-04 13:23:52.203,691,2024-04-04 13:23:52.203
65,HEAD DRIVER,,691,2024-04-04 13:24:09.497,691,2024-04-04 13:24:09.497
66,"HEALTH, SAFETY & SECURITY OFFICER",,691,2024-04-04 13:24:40.550,691,2024-04-04 13:24:40.550
67,JUNIOR ACCOUNTANT,,691,2024-04-04 13:24:59.923,691,2024-04-04 13:24:59.923
68,ADMINISTRATIVE OFFICER,,691,2024-04-04 13:25:14.507,691,2024-04-04 13:25:14.507
69,ACCOUNTING OFFICER,,691,2024-04-04 13:25:42.733,691,2024-04-04 13:25:42.733
70,ACCOUNTING & ADMIN DIVISION MANAGER,,691,2024-04-04 13:26:18.207,691,2024-04-04 13:26:18.207
71,COMMUNITY SERVICE SUPPORT SPECIALIST,,691,2024-04-04 13:26:45.480,691,2024-04-04 13:26:45.480
72,BLDG & FARM LOT CUSTODIAN,,691,2024-04-04 13:27:00.607,691,2024-04-04 13:27:00.607
73,BUSINESS DEVELOPMENT SERVICES CLERK,,691,2024-04-04 13:27:26.953,691,2024-04-04 13:27:26.953
74,AGRICULTURAL TECHINICIAN,,691,2024-04-04 13:27:40.917,691,2024-04-04 13:27:40.917
75,COOP ASSURANCE CENTER CLERK,,691,2024-04-04 13:28:14.930,691,2024-04-04 13:28:14.930
76,HEALTH & WELLNESS COORDINATOR,,691,2024-04-04 13:28:26.433,691,2024-04-04 13:28:26.433
77,YOUTH COORDINATOR,,691,2024-04-04 13:28:41.723,691,2024-04-04 13:28:41.723
78,WEALTH BUILDING SPECIALIST,,691,2024-04-04 13:29:06.543,691,2024-04-04 13:29:06.543
79,MEMBER EDUCATION SPECIALIST,,691,2024-04-04 13:29:19.557,691,2024-04-04 13:29:19.557
80,MEMBER RELATIONS SPECIALIST,,691,2024-04-04 13:29:42.263,691,2024-04-04 13:29:42.263
81,SOCIAL MEDIA SPECIALIST,,691,2024-04-04 13:29:51.220,691,2024-04-04 13:29:51.220
82,MULTIMEDIA ARTIST,,691,2024-04-04 13:30:04.657,691,2024-04-04 13:30:04.657
83,COOP ASSURANCE CENTER HEAD,,691,2024-04-04 13:30:32.543,691,2024-04-04 13:30:32.543
84,BUSINESS DEVELOPMENT OFFICER,,691,2024-04-04 13:30:48.380,691,2024-04-04 13:30:48.380
85,COMMUNITY SUPPORT SERVICE OFFICER,,691,2024-04-04 13:31:15.043,691,2024-04-04 13:31:15.043
86,MARKETING & SALES ASSISTNAT,,691,2024-04-04 13:31:29.450,691,2024-04-04 13:31:29.450
87,RESEARCH DEVELOPMENT & MARKETING OFFICER,,691,2024-04-04 13:32:02.823,691,2024-04-04 13:32:02.823
88,MEMBER EDUCATION & RELATIONS OFFICER,,691,2024-04-04 13:32:20.947,691,2024-04-04 13:32:20.947
